City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
russell,0,AR,1551056400,43,-33.01,-68.8,22.0,1.5
marrakesh,0,MA,1551060000,50,31.63,-7.99,12.0,1.0
jumla,80,NP,1551061879,92,29.28,82.18,-4.78,0.71
yashan,68,CN,1551061879,79,30.81,118.02,9.97,1.71
pisco,75,PE,1551060000,83,-13.71,-76.2,24.0,0.5
beringovskiy,8,RU,1551061880,80,63.05,179.32,-3.31,3.81
eyl,68,SO,1551061880,100,7.98,49.82,23.97,6.81
belozerskoye,68,RU,1551061881,86,55.82,65.58,-10.33,4.81
almeirim,0,PT,1551060000,76,39.21,-8.63,12.0,2.1
nevers,0,FR,1551060000,75,46.99,3.16,4.0,3.1
nago,0,IT,1551059700,84,45.88,10.89,1.0,1.5
bud,92,NO,1551059400,84,62.91,6.91,7.0,2.1
meulaboh,20,ID,1551061882,100,4.14,96.13,27.67,1.61
thinadhoo,36,MV,1551061882,98,0.53,72.93,28.77,5.31
shu,0,KZ,1551061883,63,43.6,73.76,-5.23,1.16
muros,0,ES,1551060000,76,42.77,-9.06,13.0,1.0
uyuni,92,BO,1551061883,82,-20.46,-66.82,8.77,0.91
pabbi,40,PK,1551060000,70,34.01,71.8,8.0,2.1
pedasi,36,PA,1551061883,88,7.53,-80.03,25.67,5.21
samarai,0,PG,1551061884,96,-10.62,150.67,28.77,4.31
punta alta,40,AR,1551060000,83,-27.46,-55.82,24.0,4.6
ancud,0,CL,1551060000,81,-41.87,-73.83,7.0,3.1
varhaug,40,NO,1551059400,100,58.61,5.65,2.0,1.5
hualmay,44,PE,1551061885,92,-11.1,-77.61,20.77,1.26
ovsyanka,0,RU,1551061885,46,53.58,126.91,-6.61,2.56
tual,48,ID,1551061885,95,-5.67,132.75,29.72,2.36
saint-georges,92,CA,1551061886,79,46.12,-70.67,0.05,4.11
isangel,12,VU,1551061886,99,-19.55,169.27,27.97,7.06
tchibanga,88,GA,1551061886,96,-2.92,11.0,23.6,1.06
luziania,0,BR,1551060000,94,-16.25,-47.95,21.0,1.0
dickinson,1,US,1551059760,69,46.88,-102.79,-23.0,3.1
itoman,75,JP,1551060960,73,26.12,127.67,23.0,4.1
atbasar,64,KZ,1551061887,77,51.81,68.36,-12.96,4.81
aberdeen,1,US,1551059580,65,45.47,-98.49,-21.0,6.7
calvinia,0,ZA,1551061888,81,-31.47,19.78,8.17,1.16
gray,1,US,1551060900,32,33.01,-83.53,13.0,4.1
baoqing,44,CN,1551061889,32,46.32,132.2,-0.58,4.36
namibe,80,AO,1551061889,100,-15.19,12.15,23.7,1.36
canico,0,PT,1551060000,97,32.63,-16.85,18.0,3.1
vestmannaeyjar,0,IS,1551061890,91,63.44,-20.27,6.27,6.16
burnie,12,AU,1551061890,91,-41.05,145.91,19.42,2.16
muroto,40,JP,1551060000,47,33.37,134.14,14.0,2.1
darhan,0,MN,1551061891,36,49.49,105.92,-3.28,2.06
alugan,8,PH,1551061891,88,12.22,125.48,26.27,3.66
weihe,92,CN,1551061891,79,32.99,105.33,4.47,1.11
pierre,75,US,1551059580,70,44.37,-100.35,-18.0,3.6
saint-augustin,0,FR,1551060000,100,44.83,-0.61,5.0,1.0
zhaodong,0,CN,1551060000,33,46.07,125.99,-2.0,3.0
malindi,92,KE,1551061892,95,-3.22,40.12,26.67,2.06
flinders,40,AU,1551060000,50,-34.58,150.85,24.0,3.6
knysna,0,ZA,1551060000,93,-34.04,23.05,14.0,1.0
carauari,0,BR,1551061893,97,-4.88,-66.9,23.35,1.06
kjollefjord,92,NO,1551061894,92,70.95,27.35,2.17,7.26
fort nelson,20,CA,1551060000,91,58.81,-122.69,-17.0,1.5
senanga,0,ZM,1551061894,59,-16.1,23.3,20.1,2.31
eschborn,1,DE,1551059760,59,50.14,8.57,1.0,1.16
jalu,0,LY,1551061894,61,29.03,21.55,7.1,5.11
urucara,56,BR,1551061895,92,-2.54,-57.76,24.67,1.06
cockburn town,0,TC,1551061895,97,21.46,-71.14,25.4,8.51
vitim,68,RU,1551061895,69,59.44,112.57,-8.03,2.31
ondjiva,0,AO,1551061895,36,-17.07,15.73,22.57,4.76
usinsk,92,RU,1551061896,90,66.0,57.56,-5.08,3.46
mugur-aksy,0,RU,1551061896,50,50.38,90.44,-20.31,1.71
singapore,75,MY,1551058200,74,1.29,103.85,29.0,3.1
sabirabad,92,AZ,1551060000,86,40.01,48.48,5.0,5.1
flin flon,24,CA,1551061897,52,54.77,-101.88,-20.33,3.21
owensboro,1,US,1551060900,44,37.77,-87.11,5.0,4.1
port blair,20,IN,1551056400,94,11.67,92.75,23.0,1.0
isiro,32,CD,1551061602,94,2.77,27.62,17.8,0.96
lasa,32,CY,1551060000,71,34.92,32.53,14.0,3.6
fethiye,75,TR,1551059400,87,36.62,29.12,10.0,2.6
baruun-urt,0,MN,1551061898,40,46.68,113.28,-2.66,3.41
hervey bay,90,AU,1551060540,45,-25.3,152.85,28.0,7.7
namatanai,20,PG,1551061899,95,-3.66,152.44,29.35,2.76
kayerkan,80,RU,1551061899,74,69.35,87.76,-14.93,4.16
port hedland,0,AU,1551060000,50,-20.31,118.58,36.0,5.7
orbetello,0,IT,1551059700,41,42.44,11.21,5.0,6.7
treinta y tres,92,UY,1551061900,82,-33.23,-54.39,18.02,2.11
lovington,1,US,1551059700,28,32.94,-103.35,8.0,4.6
puerto el triunfo,12,SV,1551061900,99,13.27,-88.55,26.8,3.56
fernandopolis,8,BR,1551061901,86,-20.28,-50.25,23.9,1.51
minas,0,UY,1551061626,87,-34.38,-55.24,12.9,0.96
tamiahua,88,MX,1551061901,99,21.28,-97.45,19.55,7.16
batagay,64,RU,1551061901,40,67.65,134.64,-32.68,1.81
prince rupert,1,CA,1551060000,50,54.32,-130.32,1.0,2.1
belvedere marittimo,0,IT,1551061902,100,39.62,15.86,7.77,5.66
waipawa,92,NZ,1551061902,92,-39.94,176.59,12.15,6.46
gorontalo,8,ID,1551061902,59,0.54,123.06,30.97,0.91
saint anthony,90,US,1551059760,64,43.97,-111.68,1.0,6.7
vestmanna,88,FO,1551061200,93,62.16,-7.17,9.0,6.2
lethem,0,GY,1551061903,48,3.38,-59.8,26.42,6.36
daur,0,PK,1551060000,82,26.46,68.32,13.0,2.1
talaya,40,RU,1551060000,85,55.79,84.89,-11.0,6.0
tomball,1,US,1551060900,62,30.1,-95.62,16.0,2.6
ingham,76,AU,1551061904,94,-18.65,146.16,27.27,6.41
chumikan,44,RU,1551061904,55,54.72,135.31,-9.81,4.01
baherden,0,TM,1551061904,80,38.44,57.43,0.3,1.41
salym,80,RU,1551061905,77,60.06,71.48,-8.08,3.91
puno,40,PE,1551060000,66,-15.84,-70.03,10.0,3.1
nuevo progreso,1,US,1551060900,67,26.05,-97.95,17.0,2.6
grand gaube,40,MU,1551060000,83,-20.01,57.66,27.0,4.1
villa corzo,5,MX,1551058800,69,16.19,-93.27,25.0,7.2
anderson,1,US,1551060900,29,34.51,-82.65,12.0,6.2
griffith,24,AU,1551056400,32,-34.29,146.06,27.0,4.6
charagua,0,BO,1551061906,64,-19.79,-63.2,26.2,8.96
bathsheba,20,BB,1551060000,69,13.22,-59.52,25.0,10.3
la ronge,20,CA,1551060000,52,55.1,-105.3,-23.0,3.1
mecca,20,SA,1551061383,57,21.43,39.83,16.07,1.16
nuuk,76,GL,1551059400,78,64.17,-51.74,-8.0,5.1
entre rios,64,BR,1551061908,93,-11.94,-38.08,26.45,3.81
sakaraha,0,MG,1551061908,92,-22.91,44.53,17.35,1.11
satis,92,RU,1551061908,92,54.92,43.23,-3.21,4.66
port arthur,1,US,1551061200,47,29.9,-93.93,14.0,3.01
shache,48,CN,1551061909,53,38.42,77.24,0.1,2.56
horasan,68,TR,1551061909,81,40.04,42.16,-10.16,1.26
mangan,68,IN,1551061909,78,27.5,88.54,-3.96,0.81
qasigiannguit,44,GL,1551059400,66,68.82,-51.19,-12.0,2.1
honiara,56,SB,1551061910,70,-9.43,159.96,29.2,1.31
zaria,0,NG,1551061910,52,11.11,7.72,17.77,1.31
raudeberg,92,NO,1551059400,87,61.99,5.14,6.0,4.1
olavarria,88,AR,1551061910,40,-36.89,-60.32,17.2,5.36
trinidad,0,UY,1551061905,75,-33.52,-56.9,15.52,3.51
kidal,0,ML,1551061911,23,18.44,1.41,11.67,4.36
arroyo,90,US,1551060600,74,41.39,-78.88,1.0,8.7
krasnogvardeyskiy,88,RU,1551061911,73,57.38,62.32,-7.46,3.61
rock sound,0,BS,1551061912,100,24.9,-76.2,24.95,3.21
ust-nera,0,RU,1551061908,48,64.57,143.24,-35.68,1.06
abha,0,SA,1551060000,62,18.22,42.5,16.0,2.6
bisert,68,RU,1551061912,78,56.85,59.05,-10.36,3.91
tecoanapa,20,MX,1551058860,88,16.99,-99.26,25.0,1.11
nogliki,0,RU,1551061913,100,51.8,143.14,-11.56,3.21
andros,92,GR,1551059400,81,37.83,24.93,7.0,13.9
ambulu,12,ID,1551061913,100,-8.35,113.61,28.77,1.26
dinan,0,FR,1551060000,80,48.45,-2.05,5.0,1.0
lunas,75,MY,1551060000,65,5.43,100.53,30.0,2.6
hay river,40,CA,1551060000,75,60.82,-115.79,-25.0,1.5
tarko-sale,80,RU,1551061914,79,64.92,77.78,-14.33,5.51
nanortalik,92,GL,1551061915,94,60.14,-45.24,0.3,3.31
clyde river,1,CA,1551060000,74,70.47,-68.59,-31.0,6.7
rio negrinho,12,BR,1551061915,75,-26.26,-49.52,22.45,2.56
nacala,92,MZ,1551061915,100,-14.56,40.69,23.9,2.11
mizan teferi,36,ET,1551061916,93,6.99,35.58,14.65,1.16
zambezi,8,ZM,1551061916,85,-13.55,23.12,17.3,1.86
